world_rank,name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
1,California Institute of Technology,United States of America,94.4,65.8,98.2,99.8,91.2,94.9,"2,243",6.9,27%,33 : 67,2014
2,Harvard University,United States of America,95.3,66.2,98.5,99.1,40.6,93.9,"20,152",8.9,25%,,2014
2,University of Oxford,United Kingdom,89,90.2,98.5,95.4,90.3,93.9,"19,919",11.6,34%,46:54:00,2014
4,Stanford University,United States of America,94.7,68,96.8,99.1,61.3,93.8,"15,596",7.8,22%,42:58:00,2014
5,Massachusetts Institute of Technology,United States of America,92.9,82,89,100,94.3,93,"11,074",9,33%,37 : 63,2014
6,Princeton University,United States of America,89.9,59.6,97.6,99.7,80.5,92.7,"7,929",8.4,27%,45:55:00,2014
7,University of Cambridge,United Kingdom,90.6,86.7,95.3,95.7,52.8,92.3,"18,812",11.8,34%,46:54:00,2014
8,"University of California, Berkeley",United States of America,83.2,57.3,97.5,99.3,59.5,89.8,"36,186",16.4,15%,50:50:00,2014
9,University of Chicago,United States of America,85.6,58.6,88.2,98,NaN,87.8,"14,221",6.9,21%,42:58:00,2014
10,Imperial College London,United Kingdom,84.5,91.8,88.1,90,72.3,87.5,"15,060",11.7,51%,37 : 63,2014
11,Yale University,United States of America,89.5,57.6,90.5,93.5,38.7,87.4,"11,751",4.4,20%,50:50:00,2014
12,"University of California, Los Angeles",United States of America,84.8,46.4,91,95.6,NaN,86.3,"38,206",10.3,15%,52:48:00,2014
13,Columbia University,United States of America,86.6,68,79.1,95.6,NaN,85.2,"25,055",5.9,28%,,2014
14,ETH Zurich Swiss Federal Institute of Technology Zurich,Switzerland,77.6,96.7,88.2,85,78.8,84.5,"18,178",14.7,37%,31 : 69,2014
15,Johns Hopkins University,United States of America,75.7,59.3,85.1,95,100,83.7,"15,128",3.6,23%,50:50:00,2014
16,University of Pennsylvania,United States of America,79.8,40.6,81.2,95,45.2,81,"20,376",6.5,20%,51:49:00,2014
17,Duke University,United States of America,73.9,50,73,96.7,100,79.3,"15,172",4.8,17%,49:51:00,2014
18,University of Michigan,United States of America,70,49.5,86.2,90.8,53.5,79.2,"41,786",9,16%,48:52:00,2014
19,Cornell University,United States of America,72.1,55.6,83.8,90.8,35.8,79.1,"21,424",10.2,19%,48:52:00,2014
20,University of Toronto,Canada,73.6,70,81.5,84.5,45.8,78.3,"66,198",19.5,15%,,2014
21,University College London,United Kingdom,70.5,90.2,77.5,84.1,46.8,77.6,"26,607",10.7,46%,56:44:00,2014
22,Northwestern University,United States of America,70.2,34.4,76,97.1,61.9,77.1,"18,334",13.8,15%,48:52:00,2014
23,University of Tokyo,Japan,84.7,29.6,88,69.8,56.7,76.4,"26,199",5.7,10%,,2014
24,Carnegie Mellon University,United States of America,63.1,58.1,77.4,93.9,52.5,76,"11,885",13.1,35%,39 : 61,2014
25,University of Washington,United States of America,65.6,43.2,69.2,95.6,43.1,73.4,"44,020",11.8,13%,53:47:00,2014
26,National University of Singapore,Singapore,68,94.3,77.8,66.4,64.3,72.4,"31,592",15.5,34%,49:51:00,2014
27,University of Texas at Austin,United States of America,64.7,42.4,69,91.3,59.6,72.2,"49,427",17.4,9%,51:49:00,2014
28,Georgia Institute of Technology,United States of America,59.4,67.8,68.6,87.9,71.3,71.6,"19,967",20.1,26%,31 : 69,2014
29,University of Illinois at Urbana-Champaign,United States of America,66,41.1,78.9,79.4,NaN,71.4,"42,727",18.7,20%,47:53:00,2014
30,University of Wisconsin-Madison,United States of America,69.8,32.3,67.7,87.2,51.2,71.1,"39,655",10.8,11%,51:49:00,2014
